y1,phi
0.20500000000000002,0.922404795385078
0.20600000000000002,0.9226859676918893
0.20700000000000002,0.9229666284920395
0.20800000000000002,0.923246778238884
0.209,0.9235264173847829
0.21,0.9238055463811082
0.211,0.9240841656782431
0.212,0.9243622757255876
0.213,0.92463987697156
0.214,0.9249169698636001
0.215,0.9251935548481731
0.216,0.9254696323707704
0.217,0.9257452028759152
0.218,0.9260202668071635
0.219,0.9262948246071069
0.22,0.9265688767173774
0.221,0.9268424235786478
0.222,0.9271154656306357
0.223,0.9273880033121069
0.224,0.9276600370608782
0.225,0.9279315673138178
0.226,0.9282025945068519
0.227,0.9284731190749644
0.228,0.9287431414522009
0.229,0.9290126620716725
0.23,0.9292816813655562
0.231,0.9295501997650999
0.232,0.9298182177006231
0.233,0.9300857356015226
0.234,0.9303527538962713
