t[K],phi
405.8000000000019,0.9872739259957368
406.6000000000019,0.9874217379682771
407.4000000000019,0.9875688914775134
408.2000000000019,0.9877153858567174
409.00000000000193,0.9878612205637111
409.80000000000194,0.988006395176676
410.60000000000196,0.9881509093901024
411.40000000000197,0.9882947630108574
412.200000000002,0.9884379559543836
413.000000000002,0.988580488241008
413.800000000002,0.9887223599923757
414.600000000002,0.9888635714279836
415.400000000002,0.9890041228618297
416.20000000000203,0.9891440146991624
417.00000000000205,0.9892832474333315
417.80000000000206,0.9894218216427331
418.60000000000207,0.9895597379878549
419.4000000000021,0.989696997208406
420.2000000000021,0.9898336001205374
421.0000000000021,0.9899695476141479
421.8000000000021,0.9901048406502719
422.6000000000021,0.9902394802585461
423.40000000000214,0.9903734675347557
424.20000000000215,0.9905068036384527
425.00000000000216,0.9906394897906475
425.80000000000217,0.9907715272715736
426.6000000000022,0.9909029174185134
427.4000000000022,0.9910336616236974
428.2000000000022,0.9911637613322615
429.0000000000022,0.9912932180402699
429.8000000000022,0.9914220332927948
430.60000000000224,0.9915502086820545
431.40000000000225,0.9916777458456103
432.20000000000226,0.9918046464646149
433.0000000000023,0.9919309122621149
433.8000000000023,0.9920565450014038
434.6000000000023,0.9921815464844239
435.4000000000023,0.992305918550219
436.2000000000023,0.9924296630734311
437.00000000000233,0.9925527819628416
437.80000000000234,0.9926752771599606
438.60000000000235,0.9927971506376516
439.40000000000236,0.9929184043988062
440.2000000000024,0.9930390404750489
441.0000000000024,0.9931590609254909
441.8000000000024,0.9932784678355118
442.6000000000024,0.9933972633155859
443.4000000000024,0.9935154495001365
444.20000000000243,0.9936330285464314
445.00000000000244,0.9937500026335079
445.80000000000246,0.993866373961129
446.60000000000247,0.9939821447487732
447.4000000000025,0.994097317234656
448.2000000000025,0.9942118936747767
449.0000000000025,0.9943258763419973
449.8000000000025,0.9944392675251481
450.6000000000025,0.99455206952816
451.40000000000254,0.9946642846692229
452.20000000000255,0.9947759152799713
453.00000000000256,0.9948869637046922
453.80000000000257,0.9949974322995571
454.6000000000026,0.9951073234318802
455.4000000000026,0.9952166394793963
456.2000000000026,0.9953253828295602
457.0000000000026,0.9954335558788711
457.8000000000026,0.9955411857909169
458.60000000000264,0.9956482246477523
459.40000000000265,0.9957547004687428
460.20000000000266,0.9958606156792018
461.0000000000027,0.9959659727104316
461.8000000000027,0.9960707739991581
