p[bar],phi
43.1,0.997803133620779
43.2,0.9978148288716381
43.3,0.9978266058809493
43.4,0.9978384646701793
43.5,0.9978504052607096
43.6,0.9978624276738404
43.7,0.997874531930787
43.8,0.9978867180526814
43.9,0.9978989860605713
44.0,0.9979113078917934
44.1,0.9979237392259933
44.2,0.9979362525007938
44.3,0.997948847736793
44.4,0.9979615249545035
44.5,0.9979742841743499
44.6,0.9979871254166685
44.7,0.998000048701708
44.8,0.9980130540496296
44.9,0.998026141480504
45.0,0.998039311014314
45.1,0.9980525626709531
45.2,0.9980658964702243
45.3,0.9980793124318417
45.4,0.9980928105754275
45.5,0.9981063909205147
45.6,0.9981200534865438
45.7,0.9981337982928651
45.8,0.9981476253587362
45.9,0.998161534703324
46.0,0.9981755263457012
46.1,0.9981896003048486
46.2,0.998203756599654
46.3,0.9982179952489114
46.4,0.9982323162713217
46.5,0.9982467196854911
46.6,0.998261205509931
46.7,0.9982757737630592
46.8,0.9982904244631975
46.9,0.9983051576285717
47.0,0.9983199732773129
47.1,0.9983348714274553
47.2,0.9983498520969373
47.3,0.9983649153035989
47.4,0.9983800610651852
47.5,0.9983952893993413
47.6,0.9984106003236166
47.7,0.9984259938554602
47.8,0.9984414700122245
47.9,0.9984570288111613
48.0,0.9984726702694248
48.1,0.998488394404068
48.2,0.9985042012320446
48.3,0.9985200907702085
48.4,0.9985360630353122
48.5,0.9985521180440072
48.6,0.9985682558128437
48.7,0.9985844763582705
48.8,0.9986007796966341
48.9,0.9986171658441786
49.0,0.9986336348170447
49.1,0.9986501866312714
49.2,0.998666821302793
49.3,0.9986835388474404
49.4,0.9987003392809404
49.5,0.9987172226189147
49.6,0.998734188876881
49.7,0.9987512380702515
49.8,0.9987683702143317
49.9,0.9987855853243229
50.0,0.9988028834153191
50.1,0.9988202645023078
50.2,0.9988377286001691
50.3,0.9988552757236766
50.4,0.9988729058874954
50.5,0.9988906191061832
50.6,0.9989084153941878
50.7,0.9989262947658513
50.8,0.9989442572354024
